"Number of processes";1;4;8;12;16
"Parallel fraction";39.250000
"Global efficiency";99.957657;76.904863;58.712790;52.493340;44.970885
"-- Parallelization strategy efficiency";99.957657;96.980181;96.957942;96.748423;97.154035
" -- Load balancing";100.000000;97.657523;97.833558;97.572180;97.919389
" -- In execution efficiency";99.957657;99.306411;99.104994;99.155746;99.218383
"-- Scalability for computation tasks";100.000000;79.299567;60.554906;54.257567;46.288232
" -- IPC scalability";100.000000;80.053653;64.758372;59.613269;50.976329
" -- Instruction scalability";100.000000;99.991406;99.979871;99.968556;99.957246
" -- Frequency scalability";100.000000;99.066538;93.527826;91.044551;90.842225
